"V1","V2","V3","V4","V5","V6","V7"
"107: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"108: 宮古島市下地与那覇","n","u","b","u","?","i"
"108: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"109: 宮古島市下地与那覇","n","u","b","u","?","i"
"109: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"110: 宮古島市下地与那覇","n","u","b","u","?","i"
"110: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"111: 宮古島市下地与那覇","n","u","b","u","?","i"
"111: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"112: 宮古島市上野宮国","n","u","b","u","?","i"
"112: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"","","","","","",""
"113: 宮古島市上野宮国","n","u","b","u","?","i"
"113: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"114: 宮古島市上野宮国","n","u","b","u","?","i"
"114: 石垣市登野城","n","u","b","-","-","i"
"","","","","","",""
"115: 宮古島市上野宮国","n","u","b","u","?","i"
"115: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"116: 宮古島市上野宮国","n","u","b","u","?","i"
"116: 石垣市宮良","n","u","b","-","-","i"
"","","","","","",""
"117: 宮古島市上野宮国","n","u","b","u","?","i"
"117: 石垣市平久保","n","u","b","-","-","i"
"","","","","","",""
"118: 宮古島市上野宮国","n","u","b","u","?","i"
"118: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"119: 宮古島市上野宮国","n","u","b","u","?","i"
"119: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"120: 宮古島市上野宮国","n","u","b","u","?","i"
"120: 竹富町黒島","n","u","b","-","-","i"
"","","","","","",""
"121: 宮古島市上野宮国","n","u","b","u","?","i"
"121: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"122: 宮古島市上野宮国","n","u","b","u","?","i"
"122: 竹富町古見","n","u","b","-","-","i"
"","","","","","",""
"123: 宮古島市上野宮国","n","u","b","u","?","i"
"123: 竹富町干立","n","u","b","-","-","i:"
"","","","","","",""
"124: 宮古島市上野宮国","n","u","b","u","?","i"
"124: 竹富町下地","n","u","b","-","-","i"
"","","","","","",""
"125: 宮古島市上野宮国","n","u","b","u","?","i"
"125: 与那国町祖納","n","u:","b","-","-","i"
"","","","","","",""
"126: 宮古島市上野宮国","n","u","b","u","?","i"
"126: 与那国町比川","n","u","b","-","-","i"
"","","","","","",""
"127: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"127: 多良間村仲筋","n","i","b","u","?","i"
"","","","","","",""
"128: 宮古島市伊良部伊良部","n","u","d","u","",""
"128: 石垣市登野城","n","u","b","i","",""
"","","","","","",""
"129: 宮古島市伊良部伊良部","n","u","d","u","",""
"129: 石垣市大浜","n","u","b","y","",""
"","","","","","",""
"130: 宮古島市伊良部伊良部","n","u","d","u","",""
"130: 石垣市宮良","n","u","b","i","",""
"","","","","","",""
"131: 宮古島市伊良部伊良部","n","u","d","u","",""
"131: 石垣市平久保","n","u","b","i","",""
"","","","","","",""
"132: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"132: 石垣市富野","n","u","b","u","?","i"
"","","","","","",""
"133: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"133: 竹富町竹富","n","u","b","u","?","i"
"","","","","","",""
"134: 宮古島市伊良部伊良部","n","u","d","u","",""
"134: 竹富町黒島","n","u","b","i","",""
"","","","","","",""
"135: 宮古島市伊良部伊良部","n","u","d","-","-","u"
"135: 竹富町小浜","n","u","b","u","?","i"
"","","","","","",""
"136: 宮古島市伊良部伊良部","n","u","d","u","",""
"136: 竹富町古見","n","u","b","i","",""
"","","","","","",""
"137: 宮古島市伊良部伊良部","n","u","d","u","",""
"137: 竹富町干立","n","u","b","i:","",""
"","","","","","",""
"138: 宮古島市伊良部伊良部","n","u","d","u","",""
"138: 竹富町下地","n","u","b","i","",""
"","","","","","",""
"139: 宮古島市伊良部伊良部","n","u","d","u","",""
"139: 与那国町祖納","n","u:","b","i","",""
"","","","","","",""
"140: 宮古島市伊良部伊良部","n","u","d","u","",""
"140: 与那国町比川","n","u","b","i","",""
"","","","","","",""
"141: 多良間村仲筋","n","i","b","u","?","i"
"141: 石垣市登野城","n","u","b","-","-","i"
"","","","","","",""
"142: 多良間村仲筋","n","i","b","u","?","i"
"142: 石垣市大浜","n","u","b","-","-","y"
"","","","","","",""
"143: 多良間村仲筋","n","i","b","u","?","i"
"143: 石垣市宮良","n","u","b","-","-","i"
"","","","","","",""
